No,Title,Date,Image URL
"50","Kena Pangkas, KND Sebut Anggaran Masih Cukup untuk Jalankan Tugas","28 Februari 2025","https://asset.kompas.com/crops/0XXlQpYiMzTddQ21NtaB8jKV_-0=/0x0:1000x667/235x132/data/photo/2024/04/04/660e6d6bc2359.jpg"
"51","Kasasi SYL Ditolak, Pengacara Belum Terima Salinan Putusan MA","28 Februari 2025","https://asset.kompas.com/crops/gqdREeL1-KO43XWlJjkhO54e4ZU=/0x0:1000x667/235x132/data/photo/2024/07/06/6688b70a0f6c7.jpg"
"52","Anggaran KND Dipangkas, Mensos: Tidak Mengurangi Layanan bagi Disabilitas","28 Februari 2025","https://asset.kompas.com/crops/KA7kZJdU_2xJK9BSnOf4rKZNiu8=/0x0:0x0/235x132/data/photo/2025/02/27/67c0390a1b6be.jpg"
"53","Relawan Anies Bentuk Gerakan Rakyat, Nasdem Beri Dukungan","28 Februari 2025","https://asset.kompas.com/crops/hsc2a7RVkRaoJVZU3_94A-VgYmQ=/0x0:0x0/235x132/data/photo/2025/02/27/67c0336e49cb4.jpg"
"54","Pemda Bakal Sumbang APBD untuk MBG, Tak Wajib bagi Daerah yang Tak Mampu","28 Februari 2025","https://asset.kompas.com/crops/SIqhFazUO2iAUOAvyf8KJnPNk_o=/0x133:1600x1200/235x132/data/photo/2025/02/24/67bc4e408a5b0.jpg"
"55","Istana Imbau Perusahaan Swasta Terapkan Jam Kerja Fleksibel Jelang Lebaran","28 Februari 2025","https://asset.kompas.com/crops/bJx7KNdkcAX--XW6XlW6gIx3C8Q=/0x0:0x0/235x132/data/photo/2025/01/13/6784e84ae8bc9.jpg"
"56","Gibran Terima Anak Muda Pencinta AI, Janji Beri Dukungan","28 Februari 2025","https://asset.kompas.com/crops/CWlkM3IWNC7oJEPaIWO4v2GhPRU=/0x0:0x0/235x132/data/photo/2025/02/28/67c19287a9818.jpeg"
"57","Ada Ayam Mentah di Menu MBG, Badan Gizi: Kami Evaluasi, Butuh Pembiasaan","28 Februari 2025","https://asset.kompas.com/crops/VGaBK9d5G04l9T9c8yUeDhg_BR4=/0x0:0x0/235x132/data/photo/2025/01/23/67916c34ecfd3.jpg"
"58","Makan Bergizi Gratis Ditolak di Papua, Badan Gizi: Belum Tahu Manfaatnya","28 Februari 2025","https://asset.kompas.com/crops/tIeOnNxvXxcX0UOUNqjnNlzq2jA=/782x0:3910x2085/235x132/data/photo/2025/02/24/67bc548e8e00b.jpg"
"59","Kades Kohod Bersedia Bayar Sanksi Rp 48 M, Bareskrim: Unsur Pidana Tidak Gugur","28 Februari 2025","https://asset.kompas.com/crops/SHIU_MYff5-a35esCgZaIsdk-2o=/0x0:0x0/235x132/data/photo/2025/02/18/67b46df3aafd2.jpg"
